,SLUMP_LENGTH,BIN_ONE,BIN_TWO,BIN_THREE,BIN_FOUR,BIN_FIVE,BIN_SIX,BIN_SEVEN,BIN_EIGHT,BIN_NINE
11,17.0,0.2760113760449676,0.25816737919147187,0.22348639701095294,0.20675970515387726,0.1905139033758017,0.17480036775605123,0.15966771547872322,0.1451610888894635,0.2165857053212805
12,18.0,0.2516237041122142,0.23422871247822227,0.2006724536327681,0.18461829697510015,0.1691148069991516,0.15420939495435332,0.13994573273451955,0.1263630524725452,0.1940383705152795
13,19.0,0.23284610806939282,0.2158782316435212,0.18335044988121046,0.16789335103417302,0.15303799006773053,0.13882770740113257,0.125301348537477,0.11249260001741146,0.17695432950190745
14,20.0,0.21677828876776326,0.20023659475105934,0.1687084078685826,0.1538195997481099,0.139573650924926,0.12600966550902046,0.11316162310689219,0.10105776550978485,0.16253966376262413
15,21.0,0.20130831632589488,0.18523371136677685,0.1547783055800854,0.14048887806628374,0.1268789956049207,0.11398299391320706,0.10182950914855363,0.09044093259456613,0.14885016264279144
16,22.0,0.1878415621081855,0.17222208614232376,0.14279375969800254,0.1290695902448096,0.11605402936777873,0.10377669044048665,0.09226102584928071,0.08152385756249368,0.1370931720939023
17,23.0,0.1774197550023917,0.1621855328540003,0.13361479048556646,0.12035695098796637,0.10782802074671183,0.09605358463379758,0.08505274401797226,0.07483771742027805,0.12810236657403049
18,24.0,0.16593055111461874,0.1511565468439547,0.12359791438305168,0.11088446967850982,0.09891972427848317,0.08772443902273329,0.07731258090554034,0.06769101299683639,0.11830561553267094
19,25.0,0.15664297271525873,0.14226982137012698,0.11558293331966274,0.10333360766506348,0.09184670502079587,0.08113879247505938,0.071219435063568,0.062090967284412824,0.11047867339477277
20,26.0,0.14535882426521463,0.13150962476506445,0.10594974081218234,0.09429433938884885,0.08341489056764288,0.07332251590673093,0.06402114468740713,0.05550739600571539,0.10108659014906811
21,27.0,0.13878672986100085,0.1252624436836789,0.10039487589040307,0.08910108826633588,0.07858934458890396,0.06886742155478616,0.059935830075694405,0.05178776749075441,0.09567878175115423
22,28.0,0.1306863068663527,0.11758368076991749,0.09360756010549785,0.0827759293804141,0.07273182087935777,0.06347871935312781,0.055012797002006224,0.0473229577156717,0.08907968598221125
23,29.0,0.12499396692814474,0.11220233142338988,0.08887884052132479,0.07838315272898518,0.06867736900251774,0.05976185104557339,0.05162964761937362,0.044266606974531504,0.08448797588615058
24,30.0,0.1192739456494042,0.10680761958104917,0.08416257734119624,0.07401402176729416,0.06465643111046035,0.0560869449745025,0.04829541969104359,0.04126461199651555,0.07991345397728852
25,31.0,0.11350242978209445,0.10137794548969041,0.07944131686378282,0.06965298097123551,0.06065521527084441,0.05244182898405522,0.04499941154157574,0.038307590656481434,0.07533945897392937
26,32.0,0.1081866500807291,0.09638966786649507,0.07512751711629598,0.06568004587988951,0.05702137287255563,0.04914217591333012,0.0420260041310638,0.03564960649963147,0.07116518102906008
27,33.0,0.10231247907571725,0.09089221302033544,0.07040091506052101,0.06134053626831938,0.053065294251722094,0.045562344162409,0.03881185297027262,0.03278740760741087,0.06659722259370171
28,34.0,0.09693630412018962,0.08587514268304712,0.06611380425934772,0.05741756699571761,0.04950141578566881,0.04234923445976087,0.03593808727276997,0.030238701035477357,0.06245954475004803
29,35.0,0.09364187788521237,0.08280785196841914,0.0635058084408739,0.055037492420942,0.04734530430512531,0.04041110600729784,0.03421006357032883,0.028711174926065338,0.05994517830767077
30,36.0,0.09033906625830247,0.07973837400577219,0.060906237038970336,0.0526701517919616,0.04520552623517369,0.038492185750638244,0.03250340041583782,0.027206458546376978,0.05744108431617647
31,37.0,0.08594069758920628,0.07565981126277643,0.05746858865795899,0.04954768787300123,0.042390877191162496,0.035975261446370345,0.030271604588015553,0.02524496394472298,0.054133144991777786
32,38.0,0.0836907261361733,0.07357758798364279,0.05572110365769475,0.047964101825234376,0.040966883229357896,0.034705160094867994,0.029148426100234166,0.02426062145317308,0.052453168276704536
33,39.0,0.07763485160616172,0.06798785833463696,0.051056380849595046,0.043749726837841084,0.03718932725612788,0.03134715718091134,0.026189347805794544,0.02167693289906038,0.0479741480229057
34,40.0,0.07310220518931491,0.06381881042440685,0.04760358245202738,0.04064303471845901,0.03441662721020064,0.028893564721682127,0.02403753478339579,0.01980751273896137,0.04466428019325173
35,41.0,0.06799195858272535,0.05913461667659161,0.04375279798891994,0.03719207342087025,0.03134959212445885,0.026191487727738775,0.021678796074031188,0.017768322804645745,0.04097884601984184
36,42.0,0.06506035263557675,0.05645558201971377,0.04156482531315611,0.03523820727539656,0.029619555964077258,0.02467327952182071,0.020358954988236214,0.016632229455078064,0.038887810897730184
37,43.0,0.059830111687209635,0.05169168307789869,0.03770171488958725,0.03180163714787034,0.02658891109531894,0.022024958755469604,0.018066896977620525,0.01466849303347539,0.03520155686313216
38,44.0,0.05742064189772937,0.04950420438652827,0.0359403274804136,0.03024068383491791,0.02521783958505774,0.020831891738118384,0.01703889707570558,0.01379184994336489,0.033523384210506386
39,45.0,0.05326148929637156,0.045739561736228125,0.03292855112770527,0.02758092644703857,0.022890185884526,0.01881423570995755,0.01530743465281727,0.012321604672490006,0.03065793108222308
40,46.0,0.052028023716132764,0.04462597443638504,0.03204261896147932,0.02680089466275529,0.022209710280879553,0.01822634988500703,0.014804704987126212,0.011896293601647403,0.02981606308370175
41,47.0,0.05018619818362511,0.042965712230550415,0.030726154799674273,0.02564387058720609,0.021202259419362556,0.01735770327815157,0.014063430762656771,0.01127054708491364,0.028565980514672542
42,48.0,0.04956320851261543,0.04240484549889529,0.030282642266274355,0.02525464678552335,0.020863877132026823,0.017066418025128413,0.013815283828318342,0.011061451827445619,0.02814508180102973
43,49.0,0.046509575473282314,0.03966108974418031,0.028122124817556472,0.023362899801522743,0.019223165302275847,0.015657613019634843,0.012618287076696993,0.0100556300312518,0.026096605269850817
44,50.0,0.04524712744875309,0.038529448856760344,0.027235603552914333,0.022588811911521376,0.018553755001249506,0.015084582806171391,0.012132980297996903,0.00964921693797532,0.025256996550784918
45,51.0,0.043979836398349424,0.037395114509736836,0.026349752060705976,0.021816614621795287,0.017887165393480068,0.014515032943022005,0.011651568723713632,0.009246898932757019,0.024418593464314974
46,52.0,0.043339420285765116,0.03682252921444387,0.02590367575416671,0.02142827679497738,0.017552397624829196,0.01422941237812783,0.011410514804282105,0.009045770854334237,0.0239966321959195
47,53.0,0.042065139486811357,0.03568452841541513,0.025019310997990346,0.02065941261395397,0.0168905300641892,0.013665550457716712,0.01093537654950542,0.008649979803166858,0.02316052864926708
48,54.0,0.03893095074910466,0.03289325071000117,0.022863034310577766,0.018790760983961673,0.015287344468043026,0.012304594229523133,0.009792837783821888,0.0077019689087435535,0.021124560959127354
49,55.0,0.03700312644691827,0.03118208020566529,0.021550654978255618,0.017657860378091608,0.01431936190103802,0.011486402242620123,0.009109065458537994,0.007137317453771742,0.01988734962320514
50,56.0,0.0363493188881776,0.030602787744863115,0.02110808273372455,0.017276609971955712,0.013994325214897012,0.01121229750697509,0.00888054935398233,0.006949093688343683,0.01947047704570099
51,57.0,0.034426309694942536,0.028902115476402975,0.019813999133899793,0.016164242782897027,0.013048128380789724,0.010416273831897496,0.008218587325116595,0.006405291065132481,0.018252603101999304
52,58.0,0.033764772009415925,0.028318190073608973,0.019371520102133864,0.01578474964499309,0.012726087002734187,0.01014601683454192,0.007994432373201842,0.0062216535561485445,0.017836558581483343
53,59.0,0.033101335651034146,0.02773318502158732,0.018929196632630263,0.015405839492952237,0.012404941176133538,0.009876864764514569,0.00777150176326212,0.006039284045393536,0.01742085911180415
54,60.0,0.03178242819354713,0.026572017206770205,0.018054195296190255,0.014657645353677053,0.011772021203125803,0.009347482085371922,0.007333957484168817,0.005682144998000776,0.016599128615471588
55,61.0,0.02856608715777295,0.02375103537192994,0.015945702756506648,0.012862624763542198,0.010260556427514854,0.008089395745403396,0.006299419483317046,0.004842235858646843,0.014622508282642785
56,62.0,0.026586182240110737,0.022022580954358335,0.014666740740583181,0.011779705367322249,0.009353900521703611,0.007339254879218553,0.005686462435552204,0.00434789875592964,0.013426159267307532
57,63.0,0.02398811891604416,0.01976468108089417,0.013012195862495888,0.010386101950872076,0.008193547221402052,0.006384764084433932,0.004911268606573099,0.0037267174885850913,0.011881757279333757
58,64.0,0.02329567172064734,0.019164982044498357,0.012576033183678543,0.010020212404576425,0.007890193606182556,0.006136347185915131,0.004710466971341101,0.0035666089834670775,0.011475294097239932
59,65.0,0.021245180880486964,0.017394668137572254,0.011297108689176603,0.008951224227309594,0.007007280491616541,0.005416216782520012,0.004130812040893521,0.0031064630884686008,0.010285195070724819
60,66.0,0.020529232904688652,0.016778591673550364,0.010855212590020563,0.00858329002007825,0.006704624640537974,0.005170416007607292,0.003933848955714635,0.0029508482323726084,0.009874630042236742
61,67.0,0.0184297236185237,0.014978525845200492,0.009574176008077091,0.0075211707050266705,0.005834823353389106,0.00446730582497041,0.0033732006214785277,0.0025101782013365356,0.008686450616653078
62,69.0,0.01697191442878043,0.013734822932132485,0.008698511895017033,0.006799332916695573,0.005247272242316046,0.003995383600947114,0.0029994224683982337,0.0022184620301564416,0.007876149804617079
63,70.0,0.016219524700603834,0.01309507411194565,0.008251313215277514,0.006432123472231714,0.004949596943036527,0.0037573175395261066,0.0028117187117274274,0.002072665072581339,0.007462980111259348
64,71.0,0.015464695427732615,0.012454797959544621,0.007806071066368076,0.006067546042240865,0.004654927151774007,0.0035223863914075094,0.002627091232249866,0.0019297498690671745,0.007052083639591417
65,72.0,0.014703125038732914,0.011810446820775864,0.007360451446483713,0.005703739498072359,0.004361795818390025,0.0032894470344932074,0.0024446595114611057,0.0017890458648138431,0.006641329987781214
66,73.0,0.013942380434829517,0.011168522693639119,0.006919079216609851,0.005344526458540708,0.004073316826061854,0.0030609971181346195,0.0022663942824402805,0.0016520811092353208,0.0062350044016793406
67,74.0,0.013184990249268093,0.01053123366227745,0.006483560152140082,0.004991241663035662,0.003790579224224167,0.0028379077386994104,0.0020929775522983236,0.0015193773184964863,0.00583459886857813
68,77.0,0.012426211318528746,0.009894680171707767,0.006051339041635909,0.0046418487716839455,0.0035119769363381546,0.002618925136937951,0.0019234404863998423,0.0013901932949696232,0.005437781930049382
69,78.0,0.011669944394133614,0.009262239955410811,0.0056248358886621845,0.004298346423241041,0.003239131521436003,0.002405340217787026,0.0017587900990362333,0.0012652976230648908,0.005046795993605713
70,80.0,0.01091659225992271,0.008634350544184247,0.0052044613410895234,0.003961101402286375,0.002972355946284396,0.0021974084277898323,0.001599225517267999,0.0011448378489466186,0.004662035412047818
71,82.0,0.010153768926174218,0.008000857788480507,0.004783626288127519,0.003624902066081467,0.002707579964308508,0.0019919920157872714,0.0014423598777063755,0.001027022903386495,0.0042775050927852405
72,88.0,0.009386218247720996,0.007365930870243428,0.004365388975946439,0.0032922975588069235,0.0024468880063184158,0.001790761427701569,0.0012895037174474584,0.0009128580697285679,0.0038960500828088386
73,89.0,0.007896223185066274,0.006141280053934633,0.0035697816683457084,0.0026642880587922553,0.001958502148341437,0.0014168627938365302,0.001007934122729681,0.0007044629270946476,0.003172591793398733
74,91.0,0.007119753409474295,0.005507703098905345,0.0031645767436243163,0.0023471374584098145,0.001714050949875692,0.0012314631954983939,0.0008696884232285281,0.0006032028936280309,0.002805387768549735
75,95.0,0.006341332544100362,0.004876132078760255,0.0027655763332116922,0.0020369005150680467,0.00147658527641597,0.0010526737732224401,0.0007373930597276535,0.0005070819259288056,0.0024447687346935494
76,109.0,0.005574036625118111,0.004257521207067718,0.002380073636977824,0.0017393612632435984,0.0012505988155318741,0.0008839097698558978,0.0006135830872316069,0.00041793440537726557,0.002097383643705922
77,111.0,0.004784015133026632,0.0036252120206161265,0.001992180491139723,0.0014425034343541546,0.001027130429157237,0.0007185830567358775,0.0004934844103602898,0.00033235085406201434,0.0017490367876045246
78,115.0,0.003967429875181823,0.002977351497549329,0.0016021998835438651,0.0011470777627675362,0.0008071134294242171,0.0005576358229693812,0.0003779459176098035,0.0002510375644776164,0.0014002531681839181
79,122.0,0.003146320182899191,0.0023328958731534104,0.0012231977953433022,0.0008635492210042593,0.0005987245899846345,0.00040729503162819476,0.0002715841468119587,0.00017732175144353948,0.0010629992046244242
80,128.0,0.0023017591261958706,0.0016792095167155092,0.0008501483629787044,0.000588954953758649,0.000400306964075442,0.00026668478505235504,0.0001739583853015798,0.00011098366810746663,0.0007332021290376997
81,137.0,0.0014225493393837073,0.0010121899079232966,0.00048554773198406133,0.00032673052815876993,0.00021538503028641434,0.00013894585865911537,8.76177684846251e-05,5.394387405528313e-05,0.0004138748265968874
82,139.0,0.0006116668957525881,0.00041656156500094075,0.000181791220447182,0.00011624644060081527,7.262805517083766e-05,4.428164300224303e-05,2.631400735119081e-05,1.5220012809991818e-05,0.00015180262208908075
